PropertyId,RealProperty,Capacity,Square,PropertyType,NumBedrooms,ReadyDate
43630,Yes,7,141,Apartment,3,2024-09-25 00:00:00
43622,Yes,4,70,Apartment,2,2024-08-12 00:00:00
43620,Yes,2,55,Apartment,1,2024-08-04 00:00:00
43616,No,4,60,Apartment,2,2024-07-05 00:00:00
43606,Yes,4,60,Apartment,2,2024-06-27 00:00:00
43590,Yes,7,105,Apartment,4,2024-09-19 00:00:00
43589,Yes,4,66,Apa,3,2024-07-27 00:00:00
43588,Yes,4,66,Apa,3,2024-07-09 00:00:00
43583,Yes,7,141,Apartment,3,2024-05-18 00:00:00
43578,Yes,10,92,Apa,4,2024-05-25 00:00:00
43574,Yes,2,51,Apartment,1,2024-06-26 00:00:00
43573,Yes,4,53,Apartment,2,2024-06-16 00:00:00
43552,Yes,2,28,Apa,1,2024-03-26 00:00:00
43518,Yes,4,40,Apartment,1,2024-05-24 00:00:00
43517,Yes,4,64,Apartment,1,2024-05-24 00:00:00
43516,Yes,4,70,Apa,2,2024-03-20 00:00:00
43532,Yes,2,70,Apartment,1,2024-03-26 00:00:00
43531,Yes,7,70,Apartment,3,2024-03-20 00:00:00
43530,Yes,4,70,Apa,2,2024-03-20 00:00:00
43529,Yes,4,70,Apartment,2,2024-03-20 00:00:00
43537,Yes,4,70,Apa,2,2024-03-25 00:00:00
43527,Yes,7,70,Apartment,3,2024-03-25 00:00:00
43525,Yes,4,70,Apa,2,2024-04-05 00:00:00
43526,Yes,4,70,Apa,2,2024-03-25 00:00:00
43524,Yes,2,70,Apartment,1,2024-03-26 00:00:00
43522,Yes,4,70,Apartment,2,2024-03-20 00:00:00
43521,Yes,4,70,Apartment,2,2024-03-20 00:00:00
43520,Yes,2,70,Apa,1,2024-04-03 00:00:00
43519,Yes,7,70,Apartment,3,2024-05-31 00:00:00
43515,Yes,4,70,Apartment,2,2024-03-20 00:00:00
43533,Yes,3,70,Apartment,1,2024-05-21 00:00:00
43534,Yes,6,70,Apartment,3,2024-03-25 00:00:00
43528,Yes,2,70,Apartment,1,2024-03-26 00:00:00
43548,Yes,4,70,Apartment,2,2024-03-20 00:00:00
43547,Yes,4,70,Apartment,2,2024-04-06 00:00:00
43546,Yes,6,70,,3,2024-03-25 00:00:00
43545,Yes,3,70,Apartment,1,2024-03-25 00:00:00
43544,Yes,4,70,Apa,2,2024-03-25 00:00:00
43543,Yes,4,70,Apartment,2,2024-03-25 00:00:00
43542,Yes,6,70,Apartment,3,2024-03-25 00:00:00
43535,Yes,4,70,Apartment,2,2024-03-25 00:00:00
43536,Yes,3,70,Apartment,1,2024-03-20 00:00:00
43538,Yes,6,70,Apartment,3,2024-03-20 00:00:00
43539,Yes,4,70,Apartment,2,2024-03-20 00:00:00
43540,Yes,4,70,Apartment,2,2024-03-26 00:00:00
43541,Yes,3,70,Apa,1,2024-09-07 00:00:00
43505,Yes,3,25,Apartment,0,2024-03-15 00:00:00
43502,Yes,4,51,Apa,2,2024-05-17 00:00:00
43499,Yes,8,95,Apartment,4,2024-03-26 00:00:00
43498,Yes,6,99,Apartment,3,2024-03-26 00:00:00
43496,Yes,5,68,Apartment,4,2024-04-17 00:00:00
43495,Yes,6,67,Apartment,4,2024-06-07 00:00:00
43493,Yes,4,50,Apa,2,2024-02-23 00:00:00
43492,Yes,5,67,Apa,4,2024-05-29 00:00:00
43491,Yes,5,68,Apartment,3,2024-05-29 00:00:00
43487,Yes,5,102,,3,2024-01-24 00:00:00
43621,Yes,5,64,Apartment,4,2024-09-20 00:00:00
43485,Yes,5,64,Apartment,4,2024-01-24 00:00:00
43486,Yes,5,68,Apartment,3,2024-02-24 00:00:00
43481,Yes,3,45,,1,2024-01-08 00:00:00
43480,No,3,57,House,2,2024-12-13 00:00:00
43472,Yes,4,44,,1,2024-02-23 00:00:00
43470,Yes,4,44,Apa,1,2024-02-23 00:00:00
43471,Yes,2,31,Apartment,0,2024-02-23 00:00:00
43468,Yes,6,84,,2,2024-02-23 00:00:00
43473,Yes,2,31,Apartment,0,2024-02-23 00:00:00
43474,Yes,4,44,Apartment,1,2024-02-23 00:00:00
43477,No,2,0,Apartment,0,2024-02-29 00:00:00
43465,Yes,2,31,,0,2024-02-23 00:00:00
43469,Yes,2,31,Apartment,0,2024-02-23 00:00:00
43461,Yes,4,66,Apa,2,2024-01-02 00:00:00
43448,Yes,2,38,Apartment,1,2023-10-24 00:00:00
43446,No,1,0,Apartment,0,2024-01-01 00:00:00
43445,Yes,4,57,Apartment,1,2023-11-03 00:00:00
43553,Yes,5,68,,3,2024-08-27 00:00:00
43443,Yes,5,68,Apartment,3,2023-10-22 00:00:00
43434,Yes,3,50,,2,2023-08-08 00:00:00
43432,Yes,5,64,Apartment,4,2023-08-03 00:00:00
43430,Yes,3,40,Apa,1,2023-06-09 00:00:00
43429,Yes,4,50,Apartment,2,2023-06-07 00:00:00
43428,Yes,4,65,Apartment,2,2023-05-28 00:00:00
43427,Yes,4,50,Apartment,2,2023-06-05 00:00:00
43426,Yes,4,65,Apartment,2,2023-06-05 00:00:00
43623,No,4,65,Apartment,2,2023-06-05 00:00:00
43425,Yes,10,160,House,5,2023-05-28 00:00:00
43424,Yes,3,70,Apa,3,2023-05-28 00:00:00
43423,Yes,7,70,Apartment,4,2023-05-28 00:00:00
43422,Yes,5,55,Apa,2,2023-06-18 00:00:00
43421,Yes,7,90,Apartment,4,2023-05-28 00:00:00
43420,Yes,3,45,Apartment,1,2023-06-12 00:00:00
43419,Yes,2,35,Apa,0,2023-06-30 00:00:00
43418,Yes,10,150,Apartment,4,2023-05-28 00:00:00
43417,Yes,6,60,Apa,4,2023-05-28 00:00:00
43411,Yes,7,90,Apartment,4,2023-05-28 00:00:00
43412,Yes,8,80,Apa,3,2023-05-28 00:00:00
43413,Yes,7,90,Apartment,4,2023-05-28 00:00:00
43407,Yes,6,103,Apartment,3,2023-04-05 00:00:00
43404,Yes,5,45,,2,2023-03-22 00:00:00
43401,Yes,6,100,Apartment,3,2023-04-17 00:00:00
43398,Yes,6,84,Apartment,3,2023-03-19 00:00:00
43395,Yes,6,130,Apartment,3,2023-03-08 00:00:00
43389,Yes,3,28,,1,2023-02-15 00:00:00
43366,Yes,3,120,Apa,1,2022-11-28 00:00:00
43367,Yes,4,95,Apa,2,2023-01-17 00:00:00
43363,Yes,4,60,Apartment,2,2022-11-13 00:00:00
43361,Yes,3,35,,1,2022-10-10 00:00:00
43349,Yes,8,106,Apartment,4,2022-09-26 00:00:00
43340,Yes,5,72,Apa,3,2022-07-28 00:00:00
43338,Yes,2,45,Apa,0,2022-08-01 00:00:00
43330,Yes,2,55,,1,2022-07-04 00:00:00
43324,Yes,4,61,Apartment,2,2022-06-18 00:00:00
43320,Yes,6,103,Apartment,3,2022-06-17 00:00:00
43319,Yes,2,65,Apartment,1,2022-06-07 00:00:00
43318,Yes,2,80,Apartment,1,2022-07-01 00:00:00
43317,Yes,4,100,Apartment,2,2022-06-17 00:00:00
43316,Yes,2,100,Apartment,1,2022-07-01 00:00:00
43314,Yes,6,108,Apartment,3,2022-06-10 00:00:00
43311,Yes,6,85,Apartment,3,2022-06-01 00:00:00
43310,Yes,4,75,Apa,2,2022-06-02 00:00:00
43308,Yes,4,45,Apa,1,2022-06-18 00:00:00
43306,Yes,4,54,Apa,2,2022-06-04 00:00:00
43393,Yes,4,54,Apartment,2,2023-02-12 00:00:00
43305,Yes,4,45,Apa,3,2022-05-18 00:00:00
43304,Yes,6,57,,3,2022-05-17 00:00:00
43303,Yes,2,47,Apartment,1,2022-05-16 00:00:00
43302,Yes,5,100,,3,2022-05-25 00:00:00
43301,Yes,4,40,Apartment,0,2022-05-21 00:00:00
43297,Yes,6,62,Apartment,2,2022-05-05 00:00:00
43296,Yes,2,55,Apartment,0,2022-05-22 00:00:00
43291,Yes,6,96,Apartment,3,2022-05-27 00:00:00
43288,Yes,4,45,Apartment,1,2022-04-14 00:00:00
43286,Yes,2,40,,1,2022-05-07 00:00:00
43285,Yes,2,40,Apa,1,2022-05-15 00:00:00
43284,Yes,2,40,Apartment,1,2022-05-11 00:00:00
43281,Yes,2,40,Apartment,1,2022-03-14 00:00:00
43332,Yes,2,40,Apartment,1,2022-07-12 00:00:00
43333,Yes,2,40,Apartment,1,2022-07-12 00:00:00
43312,Yes,2,40,Apa,1,2022-06-15 00:00:00
43313,Yes,2,40,Apartment,1,2022-07-19 00:00:00
43334,Yes,2,40,Apa,1,2022-07-14 00:00:00
43348,Yes,2,40,Apa,1,2022-08-26 00:00:00
43337,Yes,2,40,,1,2022-07-21 00:00:00
43276,Yes,5,64,Apartment,4,2022-02-15 00:00:00
43267,Yes,5,50,,2,2022-02-09 00:00:00
43247,Yes,10,140,Apartment,4,2022-03-14 00:00:00
43246,Yes,6,99,Apartment,3,2021-12-01 00:00:00
43237,Yes,4,64,Apa,2,2021-10-16 00:00:00
43235,Yes,10,523,Apartment,5,2021-09-01 00:00:00
43233,Yes,5,50,,2,2021-08-08 00:00:00
43230,Yes,7,105,,4,2021-07-14 00:00:00
43225,Yes,4,51,Apartment,0,2021-07-09 00:00:00
43224,Yes,5,65,Apartment,2,2021-07-18 00:00:00
43221,Yes,7,194,Apartment,3,2021-06-01 00:00:00
43279,Yes,4,55,Apa,2,2022-03-05 00:00:00
43218,Yes,6,0,,3,2021-05-17 00:00:00
43217,Yes,9,329,Apa,3,2021-05-17 00:00:00
43215,Yes,5,110,Apartment,2,2021-04-29 00:00:00
43214,Yes,6,100,,3,2021-04-07 00:00:00
43213,Yes,2,41,Apartment,1,2021-05-02 00:00:00
43212,Yes,2,41,Apartment,2,2021-05-02 00:00:00
43211,Yes,3,41,Apa,1,2021-05-02 00:00:00
43204,Yes,2,89,Apartment,1,2021-03-18 00:00:00
43194,Yes,8,95,Apa,3,2021-03-18 00:00:00
43187,Yes,2,60,Apartment,1,2020-12-27 00:00:00
43177,Yes,6,75,Apartment,3,2020-10-25 00:00:00
43176,Yes,6,77,Apa,2,2021-02-23 00:00:00
43172,Yes,5,90,,3,2020-11-01 00:00:00
43171,Yes,5,78,Apartment,2,2024-07-19 00:00:00
43170,Yes,4,70,Apartment,2,2020-10-02 00:00:00
43169,Yes,6,92,Apartment,3,2020-09-19 00:00:00
43168,Yes,4,60,Apartment,2,2020-09-24 00:00:00
43167,Yes,6,101,Apa,3,2020-09-25 00:00:00
43166,Yes,4,47,,2,2020-08-23 00:00:00
43165,Yes,4,65,Apa,3,2020-12-01 00:00:00
43164,Yes,6,108,Apartment,3,2020-09-11 00:00:00
43163,Yes,7,96,Apartment,3,2020-09-07 00:00:00
43159,Yes,4,69,Apartment,2,2020-10-15 00:00:00
43139,Yes,4,65,Apartment,2,2020-10-14 00:00:00
43141,Yes,6,82,Apartment,3,2020-07-17 00:00:00
43140,Yes,4,124,Apartment,2,2020-07-17 00:00:00
43137,Yes,9,113,Apa,4,2020-08-27 00:00:00
43138,Yes,7,111,,4,2020-09-01 00:00:00
43142,Yes,6,82,Apartment,3,2020-07-17 00:00:00
43143,Yes,6,67,Apartment,3,2020-07-17 00:00:00
43144,Yes,6,50,Apartment,3,2020-07-17 00:00:00
43145,Yes,7,82,Apartment,3,2020-07-17 00:00:00
43146,Yes,6,67,Apartment,3,2020-07-17 00:00:00
43147,Yes,3,71,Apartment,3,2020-07-17 00:00:00
43135,Yes,2,32,Apa,0,2020-09-06 00:00:00
43134,Yes,2,40,Apartment,0,2020-10-14 00:00:00
43119,Yes,4,66,Apartment,1,2020-09-08 00:00:00
43120,Yes,4,58,Apartment,2,2020-07-29 00:00:00
43121,Yes,4,58,Apartment,2,2020-08-29 00:00:00
43122,Yes,4,58,Apa,2,2020-09-13 00:00:00
43123,Yes,4,58,Apartment,2,2020-07-25 00:00:00
43124,Yes,4,58,Apartment,2,2020-09-30 00:00:00
43125,Yes,4,58,Apartment,2,2020-10-13 00:00:00
43126,Yes,4,58,Apartment,2,2020-10-18 00:00:00
43127,Yes,4,58,Apa,2,2020-10-14 00:00:00
43128,Yes,3,58,Apartment,2,2020-08-29 00:00:00
43118,Yes,6,84,Apartment,2,2020-11-10 00:00:00
43117,Yes,6,58,Apartment,2,2020-10-01 00:00:00
43116,No,1,0,Apartment,0,2020-07-01 00:00:00
43096,Yes,8,140,Apartment,4,2020-07-10 00:00:00
43158,Yes,4,75,Apartment,2,2020-08-17 00:00:00
43099,Yes,4,75,Apartment,2,2020-07-12 00:00:00
43095,Yes,7,75,Apartment,3,2020-07-01 00:00:00
43076,Yes,7,83,Apartment,3,2020-04-19 00:00:00
43075,Yes,7,106,Apartment,3,2020-04-13 00:00:00
43074,Yes,11,120,Apartment,4,2020-04-20 00:00:00
43069,Yes,9,110,Apa,3,2020-02-01 00:00:00
43068,Yes,7,80,Apartment,2,2020-01-31 00:00:00
43397,Yes,6,150,Apa,2,2023-06-23 00:00:00
43066,Yes,12,80,Apa,5,2019-12-26 00:00:00
43065,Yes,5,100,Apartment,3,2019-12-18 00:00:00
43064,Yes,11,145,Apartment,5,2020-01-18 00:00:00
43061,Yes,6,95,Apartment,2,2019-12-05 00:00:00
43056,Yes,4,50,Apartment,1,2019-10-25 00:00:00
43055,Yes,4,55,Apa,2,2019-11-11 00:00:00
43054,Yes,6,116,Apartment,2,2019-10-30 00:00:00
43053,Yes,2,67,Apartment,1,2019-10-28 00:00:00
43052,Yes,6,116,Apartment,2,2019-10-31 00:00:00
43051,Yes,2,65,Apartment,1,2019-10-31 00:00:00
43050,Yes,10,148,Apartment,3,2019-11-02 00:00:00
43049,Yes,8,127,Apartment,3,2019-10-28 00:00:00
43048,Yes,8,119,Apartment,3,2019-10-20 00:00:00
43046,Yes,9,120,,3,2019-08-23 00:00:00
43041,Yes,4,50,Apartment,2,2019-08-02 00:00:00
43042,Yes,4,50,Apartment,2,2019-08-02 00:00:00
43043,Yes,4,50,,2,2019-08-02 00:00:00
43044,Yes,4,50,Apartment,2,2019-08-02 00:00:00
43038,Yes,6,73,Apartment,2,2019-06-13 00:00:00
43037,Yes,8,106,Apartment,3,2019-06-21 00:00:00
43036,Yes,12,144,Apa,4,2019-06-06 00:00:00
43035,Yes,6,74,Apartment,2,2019-06-21 00:00:00
43034,Yes,12,163,Apa,4,2019-06-14 00:00:00
43033,Yes,7,80,Apartment,3,2019-06-12 00:00:00
43031,Yes,8,64,Apa,3,2019-05-22 00:00:00
43030,Yes,8,80,Apartment,3,2019-05-31 00:00:00
43028,Yes,8,59,Apartment,3,2019-05-24 00:00:00
43026,Yes,5,110,Apa,4,2019-05-27 00:00:00
43025,Yes,4,60,Apa,2,2019-05-04 00:00:00
43024,Yes,4,49,Apartment,2,2019-05-03 00:00:00
43019,Yes,6,73,Apa,4,2019-04-02 00:00:00
43093,Yes,6,68,Apartment,3,2020-12-01 00:00:00
43016,Yes,5,122,Apartment,3,2019-02-25 00:00:00
43015,Yes,5,41,Apartment,2,2019-02-14 00:00:00
43009,Yes,4,67,Apartment,2,2019-02-02 00:00:00
43007,Yes,2,24,Apartment,0,2019-01-16 00:00:00
43006,Yes,5,77,Apartment,3,2019-01-16 00:00:00
43004,Yes,4,50,Apa,2,2018-12-20 00:00:00
43003,Yes,4,50,Apa,2,2018-12-20 00:00:00
42997,Yes,4,45,Apartment,2,2018-10-24 00:00:00
42998,Yes,4,45,Apa,2,2018-10-24 00:00:00
42996,Yes,4,50,Apartment,2,2018-08-09 00:00:00
43406,Yes,4,50,Apa,2,2023-04-29 00:00:00
42995,Yes,4,50,,2,2018-08-15 00:00:00
42990,Yes,4,40,Apa,2,2018-05-26 00:00:00
42962,Yes,6,81,Apartment,3,2018-04-21 00:00:00
42954,Yes,3,80,Apa,2,2018-05-02 00:00:00
43229,No,7,22,Apartment,3,2018-04-08 00:00:00
42926,No,8,22,Apartment,3,2018-04-08 00:00:00
43059,No,2,20,Apartment,0,2018-02-27 00:37:13
43002,No,2,20,Apartment,0,2018-02-27 00:00:00
43507,Yes,6,100,Apa,3,2024-03-30 00:00:00
42856,Yes,3,40,Apa,0,2017-11-05 00:00:00
42694,No,1,0,Apa,0,2017-06-16 00:00:00
43506,No,1,0,Apartment,0,2017-06-16 00:00:00
43062,No,1,0,,0,2017-03-13 12:00:43
43444,No,1,0,Apartment,0,2017-06-16 00:00:00
43063,No,1,0,,0,2017-03-13 12:00:43
43073,No,1,0,,0,2017-03-13 00:00:00
42684,Yes,3,70,Apartment,1,2017-03-07 00:00:00
42674,Yes,2,40,Apa,1,2017-02-25 00:00:00
42652,Yes,6,70,Apa,3,2017-02-27 00:00:00
42608,Yes,4,60,Apartment,2,2016-11-16 00:00:00
42607,Yes,4,55,Apartment,1,2016-11-18 00:00:00
42673,Yes,6,70,Apartment,4,2017-03-01 00:00:00
42605,Yes,6,70,Apartment,4,2017-02-26 00:00:00
42807,Yes,5,64,Apartment,4,2017-06-27 00:00:00
42888,Yes,5,64,Apartment,3,2018-02-24 00:00:00
43408,Yes,5,64,Apa,4,2023-06-07 00:00:00
42994,Yes,5,64,Apartment,4,2018-07-03 00:00:00
21699,Yes,4,69,Apartment,2,2016-05-25 00:00:00
14947,Yes,4,45,Apa,1,2016-05-06 00:00:00
12688,Yes,6,70,Apa,2,2016-05-05 00:00:00
9973,Yes,6,60,Apa,2,2016-02-14 00:00:00
9971,Yes,4,70,Apartment,2,2016-02-23 00:00:00
6286,Yes,4,70,Apartment,2,2015-05-29 00:00:00
43571,No,4,30,Apartment,2,2015-05-29 00:00:00
6285,Yes,2,30,Apartment,0,2015-05-29 00:00:00
5934,Yes,4,40,Apartment,1,2015-03-01 00:00:00
5933,Yes,4,40,Apartment,1,2015-02-28 00:00:00
5932,Yes,6,65,,2,2015-02-28 00:00:00
5931,Yes,4,40,Apartment,1,2015-02-28 00:00:00
5930,Yes,4,40,Apartment,1,2015-02-27 00:00:00
42852,Yes,7,100,Apartment,4,2017-11-09 00:00:00
4952,Yes,6,89,Apa,3,2014-07-03 00:00:00
4789,Yes,4,45,Apartment,1,2014-05-01 00:00:00
4785,Yes,4,45,Apartment,1,2014-05-25 00:00:00
4790,Yes,4,45,Apartment,1,2014-05-01 00:00:00
4788,Yes,4,45,Apartment,1,2014-05-10 00:00:00
4787,Yes,6,45,Apartment,2,2014-05-01 00:00:00
4786,Yes,6,45,Apartment,2,2014-05-01 00:00:00
4181,Yes,4,45,Apa,0,2013-09-07 00:00:00
3963,Yes,4,50,Apartment,1,2013-06-13 00:00:00
3964,Yes,4,45,Apa,0,2013-06-15 00:00:00
4928,Yes,3,80,Apartment,2,2014-06-11 00:00:00
4259,Yes,6,80,Apartment,3,2013-10-21 00:00:00
2883,Yes,8,110,Apartment,3,2011-12-28 00:00:00
4138,Yes,5,60,Apartment,2,2013-08-07 00:00:00
4869,Yes,5,70,,3,2014-05-30 00:00:00
4710,Yes,6,75,Apartment,3,2014-04-15 00:00:00
43493,Yes,5,50,Apartment,2,2024-02-23 00:00:00
43163,Yes,8,96,Apartment,3,2020-09-07 00:00:00
43016,Yes,6,122,Apartment,3,2019-02-25 00:00:00
43495,Yes,7,67,Apa,4,2024-06-07 00:00:00
43517,Yes,5,64,Apartment,1,2024-05-24 00:00:00
43026,Yes,6,110,Apartment,4,2019-05-27 00:00:00
43296,Yes,3,55,Apartment,0,2022-05-22 00:00:00
43229,No,8,22,,3,2018-04-08 00:00:00
43539,Yes,5,70,Apa,2,2024-03-20 00:00:00
42996,Yes,5,50,Apartment,2,2018-08-09 00:00:00
43528,Yes,3,70,Apa,1,2024-03-26 00:00:00
43621,Yes,6,64,Apartment,4,2024-09-20 00:00:00
43221,Yes,8,194,Apartment,3,2021-06-01 00:00:00
43303,Yes,3,47,Apartment,1,2022-05-16 00:00:00
43138,Yes,8,111,Apartment,4,2020-09-01 00:00:00
43363,Yes,5,60,Apa,2,2022-11-13 00:00:00
43164,Yes,7,108,Apa,3,2020-09-11 00:00:00
43316,Yes,3,100,Apartment,1,2022-07-01 00:00:00
43225,Yes,5,51,Apartment,0,2021-07-09 00:00:00
43074,Yes,12,120,Apartment,4,2020-04-20 00:00:00
43542,Yes,7,70,Apartment,3,2024-03-25 00:00:00
43428,Yes,5,65,Apartment,2,2023-05-28 00:00:00
43445,Yes,5,57,Apartment,1,2023-11-03 00:00:00
43319,Yes,3,65,,1,2022-06-07 00:00:00
43279,Yes,5,55,Apartment,2,2022-03-05 00:00:00
43093,Yes,7,68,Apa,3,2020-12-01 00:00:00
43069,Yes,10,110,Apartment,3,2020-02-01 00:00:00
9973,Yes,7,60,Apa,2,2016-02-14 00:00:00
43056,Yes,5,50,Apartment,1,2019-10-25 00:00:00
21699,Yes,5,69,Apa,2,2016-05-25 00:00:00
43030,Yes,9,80,Apartment,3,2019-05-31 00:00:00
